track_name,artist_name,album_name,release_date,duration,song_popularity,album_img,track_uri,artist_uri,album_uri
A Moment Suspended In Time,Underoath,Define The Great Line,2006-01-01,239866,40,https://i.scdn.co/image/ab67616d0000b2732356287844a9caa378291699,spotify:track:1SBceOn4txhXq6Uan8EMPt,spotify:artist:3GzWhE2xadJiW8MqRKIVSK,spotify:album:6YQu7tXYfN1r2NLx8tfEI6
Moving For The Sake Of Motion,Underoath,Define The Great Line,2006-01-01,195480,39,https://i.scdn.co/image/ab67616d0000b2732356287844a9caa378291699,spotify:track:0qxAdhIIf3S6Nwq88qp8i0,spotify:artist:3GzWhE2xadJiW8MqRKIVSK,spotify:album:6YQu7tXYfN1r2NLx8tfEI6
If I Leave,A Day To Remember,What Separates Me From You,2010,204186,0,https://i.scdn.co/image/ab67616d0000b273d2477f14fcb48c2a3043afdb,spotify:track:73CczWVa3cudmlTAgOwKXv,spotify:artist:4NiJW4q9ichVqL1aUsgGAN,spotify:album:2kllnMabPw1hYID0MhQRK0
Giving Up,Hollow City,Hollow City,2016-07-28,227836,5,https://i.scdn.co/image/ab67616d0000b27316fa7389af6850fa156007d2,spotify:track:6VLHNbP2R6EUyIMQfoayej,spotify:artist:4NeYN3CuxfOJGJRIX5eYQ4,spotify:album:2ZkVyk2KlldLlmGaNkcG5s
Tears Don't Fall,Bullet For My Valentine,The Poison (Deluxe Version),2007-06-12,348386,56,https://i.scdn.co/image/ab67616d0000b273481f5ef250628e52afce20a7,spotify:track:3iWlbqAaoIR7H7gyO3a6rV,spotify:artist:7iWiAD5LLKyiox2grgfmUT,spotify:album:4uNzDULQ9RAy0nxGaPbCDn
Capital M-E,Taking Back Sunday,Transformers: Revenge Of The Fallen The Album,2009-06-12,168360,31,https://i.scdn.co/image/ab67616d0000b273148cd93cd936ee29cb4db587,spotify:track:1VppmZKCjqa8qqkdHV76Iu,spotify:artist:24XtlMhEMNdi822vi0MhY1,spotify:album:1fqibtpI0bwD73uQGeEnhn
Let It Bleed,The Used,In Love and Death,2004-09-27,190813,45,https://i.scdn.co/image/ab67616d0000b273b5bc4686d08a5812a63f180d,spotify:track:5kbXvXRsxSe6IzRpIFeURw,spotify:artist:55VydwMyCuGcavwPuhutPL,spotify:album:10Mw53MGdbK8KjIhBM0Wx2
All That I've Got,The Used,In Love and Death,2004-09-27,230426,58,https://i.scdn.co/image/ab67616d0000b273b5bc4686d08a5812a63f180d,spotify:track:6IxQ0PdozaZKch1m8tGCwb,spotify:artist:55VydwMyCuGcavwPuhutPL,spotify:album:10Mw53MGdbK8KjIhBM0Wx2
Take It Away,The Used,In Love and Death,2004-09-27,217946,47,https://i.scdn.co/image/ab67616d0000b273b5bc4686d08a5812a63f180d,spotify:track:2PzjnmkdMr6eOkFwQgqmyC,spotify:artist:55VydwMyCuGcavwPuhutPL,spotify:album:10Mw53MGdbK8KjIhBM0Wx2
Noise and Kisses,The Used,The Used,2002-06-25,169160,43,https://i.scdn.co/image/ab67616d0000b273e0827a6cec3f1574249ec8c0,spotify:track:3J0cTSuhrsoG9lY2AonjmH,spotify:artist:55VydwMyCuGcavwPuhutPL,spotify:album:57d5dFo7oN2yUyGfSKPrRv
